po_kpa,teor_de_fibra,comp_de_fibra,e_inicial_vazio_inicial,p_tensao_media,q_tensao_desviadora,e_indice_de_vazios,ea_deformacao_axial,ev_deformacao_volumetrica,deltaEa,deltaev,dq,dp
50,0.0,0.0,0.613,50.0,0.0,0.613,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.613,54.239214203491834,12.7176426104755,0.6137045125361985,0.00100633106350102,-0.000436771566149124,0.00100633106350102,-0.000436771566149124,12.7176426104755,4.239214203491834
50,0.0,0.0,0.613,64.689598463744,44.068795391232,0.6124689059342503,0.00352215872225357,0.000329258565250878,0.00251582765875255,0.000766030131400002,31.3511527807565,10.450384260252171
50,0.0,0.0,0.613,76.65394887909594,79.9618466372878,0.6152977947334475,0.00855381403975867,-0.00142454726190176,0.0050316553175051,-0.001753805827152638,35.893051246055805,11.96435041535193
50,0.0,0.0,0.613,83.49694785923234,100.490843577697,0.6212048613831122,0.0150949659525153,-0.00508670885499826,0.006541151912756629,-0.0036621615930965004,20.5289969404092,6.8429989801364
50,0.0,0.0,0.613,82.0367340901806,96.1102022705418,0.6308946184194427,0.0231456144605235,-0.0110939977801877,0.0080506485080082,-0.00600728892518944,-4.3806413071552015,-1.4602137690517338
50,0.0,0.0,0.613,84.93535582127933,104.806067463838,0.6417549501313033,0.0372342493495377,-0.0178269994614404,0.014088634889014202,-0.006733001681252699,8.6958651932962,2.8986217310987286
50,0.0,0.0,0.613,81.98640129809053,95.9592038942716,0.6512712886971851,0.0498133876433005,-0.0237267753857316,0.012579138293762795,-0.005899775924291202,-8.846863569566409,-2.948954523188803
50,0.0,0.0,0.613,79.797419969991,89.392259909973,0.6679303005146798,0.0684305123180694,-0.0340547430345194,0.018617124674768906,-0.010327967648787798,-6.5669439842985895,-2.18898132809953
50,0.0,0.0,0.613,76.86436148792993,80.5930844637898,0.6732304025177733,0.0764811608260775,-0.037340609124472,0.008050648508008101,-0.0032858660899525993,-8.799175446183213,-2.933058482061071
50,0.0,0.0,0.613,73.47769652068587,70.4330895620576,0.6778043146758624,0.0895634646515908,-0.0401762645231633,0.0130823038255133,-0.0028356553986913016,-10.15999490173219,-3.3866649672440587
50,0.0,0.0,0.613,69.18080203306667,57.5424060992,0.6788665028073616,0.0981172786913495,-0.040834781653665,0.00855381403975869,-0.0006585171305016971,-12.890683462857602,-4.296894487619198
50,0.0,0.0,0.613,74.95191715358483,74.8557514607545,0.6795710153435601,0.107174258262859,-0.0412715532198141,0.009056979571509513,-0.0004367715661491023,17.313345361554504,5.771115120518161
50,0.0,0.0,0.613,72.762113412218,68.286340236654,0.6810667496511817,0.117740734429619,-0.0421988528525615,0.01056647616676,-0.0009272996327474026,-6.569411224100506,-2.1898037413668305
50,0.0,0.0,0.613,69.80709515077913,59.4212854523374,0.682920159554104,0.127300879532879,-0.0433478980496615,0.00956014510325999,-0.0011490451970999974,-8.865054784316598,-2.955018261438866
50,0.0,0.0,0.613,75.1663302861916,75.4989908585748,0.6841557661560522,0.141389514421893,-0.0441139281810615,0.01408863488901399,-0.0007660301314000029,16.0777054062374,5.359235135412462
50,0.0,0.0,0.613,73.4489240090193,70.3467720270579,0.6857490483533011,0.151452825056904,-0.0451017038768141,0.010063310635011008,-0.0009877756957525977,-5.152218831516905,-1.7174062771723015
50,0.0,0.0,0.613,71.8113997793518,65.4341993380554,0.6888380648581717,0.169063618668171,-0.0470167792053141,0.017610793611266995,-0.0019150753285000002,-4.912572689002502,-1.6375242296674912
50,0.0,0.0,0.613,72.94782943470797,68.8434883041239,0.6904205084010174,0.182145922493685,-0.0479978353385105,0.013082303825514008,-0.0009810561331963993,3.4092889660685017,1.1364296553561672
