po_kpa,teor_de_fibra,comp_de_fibra,e_inicial_vazio_inicial,p_tensao_media,q_tensao_desviadora,e_indice_de_vazios,ea_deformacao_axial,ev_deformacao_volumetrica,deltaEa,deltaev,dq,dp
50,0.0,51.0,0.6059999999999999,50.0,0.0,0.6059999999999999,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,51.0,0.6059999999999999,50.0725,0.217499999999994,0.6059860379225062,1.2419567242298728e-05,8.693697069559243e-06,1.2419567242298728e-05,8.693697069559243e-06,0.217499999999994,0.072499999999998
50,0.0,51.0,0.6059999999999999,50.21713840399002,0.6514152119700611,0.6059582439536313,3.7143113327741336e-05,2.600017932940598e-05,2.472354608544261e-05,1.730648225984674e-05,0.4339152119700671,0.1446384039900223
50,0.0,51.0,0.6059999999999999,50.36177680798004,1.0853304239401282,0.6059305304031173,6.179555158230343e-05,4.325688610764785e-05,2.4652438254562097e-05,1.7256706778241868e-05,0.4339152119700671,0.1446384039900223
50,0.0,51.0,0.6059999999999999,50.50641521197007,1.5192456359101951,0.6059028968083218,8.637728986191187e-05,6.046410290337126e-05,2.458173827960844e-05,1.720721679572341e-05,0.4339152119700671,0.1446384039900223
50,0.0,51.0,0.6059999999999999,50.65105361596009,1.9531608478802625,0.605875342710579,0.0001108887325235,7.762211276658396e-05,2.451144266165677e-05,1.7158009863212705e-05,0.4339152119700671,0.1446384039900223
50,0.0,51.0,0.6059999999999999,50.79569201995011,2.3870760598503296,0.6058478676551551,0.000135330280465,9.473119632565476e-05,2.4441547941526264e-05,1.7109083559070784e-05,0.4339152119700671,0.1446384039900223
50,0.0,51.0,0.6059999999999999,50.94033042394013,2.8209912718203967,0.6058204711912027,0.0001597023311646,0.0001117916318153,2.4372050699531287e-05,1.7060435489656898e-05,0.4339152119700671,0.1446384039900223
50,0.0,51.0,0.6059999999999999,51.08496882793016,3.254906483790464,0.6057931528717171,0.0001840052787193,0.0001288036951036,2.4302947554733132e-05,1.701206328836605e-05,0.4339152119700671,0.1446384039900223
50,0.0,51.0,0.6059999999999999,51.22960723192018,3.688821695760531,0.6057659122534926,0.0002082395138836,0.0001457676597187,2.42342351643368e-05,1.6963964615081245e-05,0.4339152119700671,0.1446384039900223
